Node Number	Equivalent Elastic Strain (m/m)
1	1.1136e-002
1	1.2396e-002
2	8.9569e-003
2	1.524e-002
3	5.6212e-003
3	7.8218e-003
4	8.3623e-003
4	6.7921e-003
5	1.7019e-003
5	1.7006e-003
6	1.5994e-003
6	1.6074e-003
7	8.9364e-003
7	8.8326e-003
8	4.2235e-004
8	1.9077e-004
9	3.8314e-003
9	5.6541e-003
10	3.4558e-003
10	3.5761e-003
11	9.7631e-003
11	1.3376e-002
12	1.01e-002
12	1.4021e-002
13	3.1253e-003
13	3.3029e-003
14	1.9579e-003
14	2.1566e-003
15	6.9345e-004
15	1.2788e-003
16	6.2601e-004
16	8.4581e-004
17	1.1088e-003
17	2.1151e-003
18	4.909e-004
18	7.9771e-004
19	2.3573e-003
19	5.4658e-003
20	2.208e-003
20	3.8632e-003
21	6.3041e-003
21	6.7714e-003
22	6.7686e-003
22	1.0827e-002
23	1.4908e-003
23	3.599e-003
24	2.1654e-003
24	4.1016e-003
25	4.3723e-003
25	7.932e-003
26	1.6551e-003
26	4.7179e-003
27	4.2746e-003
27	4.8013e-003
28	1.6204e-003
28	3.0718e-003
29	1.3453e-002
29	1.6495e-002
30	7.1871e-003
30	2.2128e-002
31	2.0965e-002
31	1.5469e-002
32	1.0519e-002
32	1.1297e-002
33	1.6231e-002
33	1.5763e-002
34	6.4537e-003
34	1.0646e-002
35	1.0268e-002
35	1.2644e-002
36	9.1224e-003
36	1.5406e-002
37	1.6211e-002
37	1.6351e-002
38	2.6021e-002
38	1.3498e-002
39	3.3577e-002
39	2.2028e-002
40	2.478e-002
40	1.7926e-002
41	3.3282e-002
41	1.9181e-002
42	2.1621e-002
42	2.7306e-002
43	2.4633e-002
43	2.9082e-002
44	1.4954e-002
44	2.5041e-002
45	2.2215e-002
45	2.6596e-002
46	2.5387e-002
46	2.0264e-002
47	2.4649e-002
47	1.3846e-002
48	2.1692e-002
48	1.131e-002
49	2.7871e-002
49	1.4707e-002
50	1.701e-002
50	1.1224e-002
51	1.2835e-002
51	1.7861e-002
52	2.2787e-002
52	1.9431e-002
53	2.8257e-002
53	2.3265e-002
54	2.2437e-002
54	5.9769e-003
55	2.1822e-002
55	1.854e-002
56	2.0051e-002
56	5.9181e-003
