Node Number	Equivalent (von-Mises) Stress (Pa)
1	1.003e+006
1	1.1461e+006
2	5.222e+005
2	1.1925e+006
3	5.7577e+005
3	8.0118e+005
4	6.9005e+005
4	4.3882e+005
5	81734
5	92814
6	1.123e+005
6	1.2162e+005
7	4.8592e+005
7	7.0251e+005
8	43261
8	19541
9	3.6128e+005
9	5.4982e+005
10	3.1081e+005
10	3.3355e+005
11	7.7542e+005
11	1.1552e+006
12	4.8535e+005
12	9.3088e+005
13	3.2012e+005
13	3.3831e+005
14	1.8566e+005
14	1.5867e+005
15	64332
15	1.2062e+005
16	60532
16	77579
17	1.0736e+005
17	1.8146e+005
18	50282
18	81709
19	2.1908e+005
19	4.9201e+005
20	2.1821e+005
20	3.5167e+005
21	5.9782e+005
21	6.17e+005
22	2.511e+005
22	9.7838e+005
23	1.5271e+005
23	3.6864e+005
24	1.8476e+005
24	3.78e+005
25	4.0973e+005
25	6.4292e+005
26	1.5854e+005
26	3.935e+005
27	4.2064e+005
27	2.7428e+005
28	1.6598e+005
28	3.1464e+005
29	1.2911e+006
29	1.6795e+006
30	6.3608e+005
30	2.2528e+006
31	1.6865e+006
31	1.2187e+006
32	1.0419e+006
32	1.148e+006
33	8.6071e+005
33	1.2039e+006
34	5.9497e+005
34	1.07e+006
35	1.0109e+006
35	1.2694e+006
36	7.8453e+005
36	1.5504e+006
37	1.2794e+006
37	1.3789e+006
38	2.5167e+006
38	6.8676e+005
39	3.2015e+006
39	2.2407e+006
40	2.5319e+006
40	1.8267e+006
41	3.3947e+006
41	1.9295e+006
42	1.1071e+006
42	6.3484e+005
43	9.7252e+005
43	1.4684e+006
44	1.4796e+006
44	2.5101e+006
45	2.2237e+006
45	2.6444e+006
46	1.9485e+006
46	1.0196e+006
47	2.5221e+006
47	1.418e+006
48	2.1139e+006
48	4.9245e+005
49	2.8264e+006
49	1.4954e+006
50	1.6265e+006
50	8.7862e+005
51	9.4291e+005
51	1.7621e+006
52	2.3042e+006
52	1.4453e+006
53	2.298e+006
53	1.0688e+006
54	2.2767e+006
54	5.1917e+005
55	1.3748e+006
55	1.5341e+006
56	2.0253e+006
56	5.9785e+005
57	2.2807e+006
57	9.5205e+005
58	1.7732e+006
58	4.3095e+005
59	2.2407e+006
59	9.2193e+005
60	1.4714e+006
